order_id,order_line_id,date_sk,product_sk,customer_sk,quantity,unit_price,amount,cost,margin,promotion_sk,promotion_name,discount_rate
10005,1836,82,8,51,1,51.91,51.91,32.13,19.779999999999994,1,Promotion 2,0.1
10010,1962,122,38,77,3,201.23,603.6899999999999,377.15999999999997,226.52999999999997,1,Promotion 2,0.1
10012,1008,20,7,36,5,105.66,528.3,356.45000000000005,171.8499999999999,3,Promotion 4,0.2
10012,1779,124,54,18,1,281.45,281.45,202.42,79.03,3,Promotion 4,0.2
10015,929,54,20,64,4,33.99,135.96,90.0,45.96000000000001,1,Promotion 2,0.1
10016,1002,25,32,108,4,269.89,1079.56,773.2,306.3599999999999,4,Promotion 5,0.25
10016,1469,151,47,46,1,250.64,250.64,151.63,99.00999999999999,2,Promotion 3,0.15
10023,1516,172,38,91,5,201.23,1006.15,628.6,377.54999999999995,0,Promotion 1,0.0
10030,1433,92,49,36,5,101.97,509.85,370.55,139.3,1,Promotion 2,0.1
10032,1259,208,39,45,2,220.83,441.66,346.92,94.74000000000001,4,Promotion 5,0.25
10040,1142,259,60,113,3,227.1,681.3,423.65999999999997,257.64,0,Promotion 1,0.0
10043,421,223,41,112,1,41.24,41.24,27.23,14.010000000000002,0,Promotion 1,0.0
10045,814,180,11,89,3,59.47,178.41,140.46,37.94999999999999,3,Promotion 4,0.2
10046,2148,142,9,8,1,39.99,39.99,29.97,10.020000000000003,2,Promotion 3,0.15
10047,757,104,27,98,5,106.16,530.8,332.45,198.34999999999997,1,Promotion 2,0.1
10047,1070,125,45,85,2,170.91,341.82,224.68,117.13999999999999,2,Promotion 3,0.15
10047,2309,73,16,101,2,16.61,33.22,21.12,12.099999999999998,0,Promotion 1,0.0
10048,293,179,8,50,4,51.91,207.64,128.52,79.11999999999998,1,Promotion 2,0.1
10054,365,147,19,105,4,236.99,947.96,606.0,341.96000000000004,1,Promotion 2,0.1
10054,366,208,60,20,4,227.1,908.4,564.88,343.52,2,Promotion 3,0.15
10054,2166,206,28,65,5,160.99,804.95,592.05,212.9000000000001,3,Promotion 4,0.2
10064,1921,95,35,90,1,41.49,41.49,30.83,10.660000000000004,4,Promotion 5,0.25
10070,95,159,50,86,4,286.34,1145.36,711.48,433.8799999999999,0,Promotion 1,0.0
10073,710,46,44,56,3,20.85,62.550000000000004,49.47,13.080000000000005,1,Promotion 2,0.1
10075,1722,16,13,35,3,178.51,535.53,334.46999999999997,201.06,1,Promotion 2,0.1
10078,227,273,29,50,4,137.28,549.12,342.84,206.28000000000003,2,Promotion 3,0.15
10081,799,270,9,5,1,39.99,39.99,29.97,10.020000000000003,2,Promotion 3,0.15
10085,695,177,58,56,1,297.79,297.79,225.41,72.38000000000002,4,Promotion 5,0.25
10085,1327,202,41,60,4,41.24,164.96,108.92,56.040000000000006,4,Promotion 5,0.25
10092,1052,143,19,28,3,236.99,710.97,454.5,256.47,3,Promotion 4,0.2
10094,1963,229,49,68,5,101.97,509.85,370.55,139.3,0,Promotion 1,0.0
10101,1283,80,10,17,2,180.42,360.84,235.44,125.39999999999998,0,Promotion 1,0.0
10107,590,68,54,119,5,281.45,1407.25,1012.0999999999999,395.1500000000001,4,Promotion 5,0.25
10120,321,174,60,15,3,227.1,681.3,423.65999999999997,257.64,4,Promotion 5,0.25
10123,310,51,29,119,3,137.28,411.84000000000003,257.13,154.71000000000004,1,Promotion 2,0.1
10124,1202,99,15,41,2,181.37,362.74,228.76,133.98000000000002,0,Promotion 1,0.0
10139,641,272,2,28,2,198.46,396.92,309.08,87.84000000000003,3,Promotion 4,0.2
10145,359,235,39,34,1,220.83,220.83,173.46,47.370000000000005,2,Promotion 3,0.15
10146,558,37,48,40,1,244.39,244.39,173.77,70.61999999999998,4,Promotion 5,0.25
10157,409,80,55,80,2,57.74,115.48,90.84,24.64,2,Promotion 3,0.15
10165,1144,73,15,113,1,181.37,181.37,114.38,66.99000000000001,3,Promotion 4,0.2
10173,2495,16,24,17,1,175.8,175.8,110.54,65.26,3,Promotion 4,0.2
10176,886,213,50,59,1,286.34,286.34,177.87,108.46999999999997,0,Promotion 1,0.0
10181,1172,145,12,102,1,278.28,278.28,180.38,97.89999999999998,0,Promotion 1,0.0
10190,1114,122,59,91,3,268.59,805.77,486.33000000000004,319.43999999999994,3,Promotion 4,0.2
10197,1610,82,19,40,3,236.99,710.97,454.5,256.47,0,Promotion 1,0.0
10205,1049,189,36,101,5,204.95,1024.75,766.3,258.45000000000005,1,Promotion 2,0.1
10209,1691,27,41,108,4,41.24,164.96,108.92,56.040000000000006,3,Promotion 4,0.2
10211,60,54,44,119,3,20.85,62.550000000000004,49.47,13.080000000000005,1,Promotion 2,0.1
10219,687,161,53,37,5,84.23,421.15000000000003,334.09999999999997,87.05000000000007,0,Promotion 1,0.0
10231,1264,9,57,5,2,136.18,272.36,188.88,83.48000000000002,0,Promotion 1,0.0
10232,1658,136,33,101,2,50.67,101.34,64.86,36.480000000000004,2,Promotion 3,0.15
10236,1303,47,8,48,5,51.91,259.54999999999995,160.65,98.89999999999995,3,Promotion 4,0.2
10237,1781,265,36,25,1,204.95,204.95,153.26,51.69,3,Promotion 4,0.2
10239,341,24,40,74,5,232.91,1164.55,791.35,373.19999999999993,4,Promotion 5,0.25
10239,2232,40,28,27,3,160.99,482.97,355.23,127.74000000000001,3,Promotion 4,0.2
10248,700,201,49,111,4,101.97,407.88,296.44,111.44,3,Promotion 4,0.2
10250,919,83,45,69,3,170.91,512.73,337.02,175.71000000000004,1,Promotion 2,0.1
10263,1849,251,53,48,2,84.23,168.46,133.64,34.82000000000002,1,Promotion 2,0.1
10264,1743,258,8,48,3,51.91,155.73,96.39000000000001,59.339999999999975,1,Promotion 2,0.1
10265,1930,171,14,8,1,110.59,110.59,84.74,25.85000000000001,0,Promotion 1,0.0
10265,2156,28,22,34,4,152.31,609.24,483.96,125.28000000000003,4,Promotion 5,0.25
10269,1989,11,15,109,3,181.37,544.11,343.14,200.97000000000003,1,Promotion 2,0.1
10289,350,251,39,55,4,220.83,883.32,693.84,189.48000000000002,2,Promotion 3,0.15
10292,1013,39,60,36,1,227.1,227.1,141.22,85.88,1,Promotion 2,0.1
10296,820,15,47,23,1,250.64,250.64,151.63,99.00999999999999,0,Promotion 1,0.0
